id,title,slug,created_at,last_posted_at
165142,GA2 deadline,ga2-deadline,2025-01-25 07:07:19.691000+00:00,2025-01-25 09:04:53.780000+00:00
165396,Graded assignment 1 - Submission not shown,graded-assignment-1-submission-not-shown,2025-01-26 19:31:14.591000+00:00,2025-01-31 13:42:02.551000+00:00
165416,Where can i find the TDS GA1 after the submission date has passed?,where-can-i-find-the-tds-ga1-after-the-submission-date-has-passed,2025-01-27 05:03:26.563000+00:00,2025-02-07 12:27:11.389000+00:00
165433,Questions closed (GA),questions-closed-ga,2025-01-27 07:08:48.980000+00:00,2025-02-07 07:36:00.899000+00:00
165593,Live sessions regarding Project 1,live-sessions-regarding-project-1,2025-01-28 09:06:27.655000+00:00,2025-01-28 09:16:36.117000+00:00
165687,"Meet with Anand (TDS Faculty), Wed 5 Feb, 10:30 am - 2:30 pm",meet-with-anand-tds-faculty-wed-5-feb-10-30-am-2-30-pm,2025-01-29 04:24:06.432000+00:00,2025-02-05 13:21:21.844000+00:00
165746,Course drop,course-drop,2025-01-29 14:50:10.285000+00:00,2025-01-29 15:01:01.974000+00:00
165830,Live Session Agenda - 30/01/2025,live-session-agenda-30-01-2025,2025-01-30 09:31:29.488000+00:00,2025-01-30 09:31:29.813000+00:00
165922,Best Practices for Virtual Environments and Dependency Management in Python,best-practices-for-virtual-environments-and-dependency-management-in-python,2025-01-31 06:26:47.382000+00:00,2025-01-31 07:07:47.354000+00:00
165959,GA4 - Data Sourcing - Discussion Thread [TDS Jan 2025],ga4-data-sourcing-discussion-thread-tds-jan-2025,2025-01-31 16:13:36.376000+00:00,2025-02-24 05:46:12.726000+00:00
166100,Access to Notebooks,access-to-notebooks,2025-02-02 07:04:55.785000+00:00,2025-02-03 22:50:30.644000+00:00
166189,Tds: assignment is not submitting,tds-assignment-is-not-submitting,2025-02-03 06:54:27.692000+00:00,2025-05-31 09:14:12.326000+00:00
166303,LLM what rocket science going on here,llm-what-rocket-science-going-on-here,2025-02-05 05:04:10.130000+00:00,2025-02-06 05:49:08.446000+00:00
166349,Reattempt Graded Assignment after deadline,reattempt-graded-assignment-after-deadline,2025-02-05 15:01:52.746000+00:00,2025-02-05 15:01:52.918000+00:00
166357,"Doubts in Q7, Q8",doubts-in-q7-q8,2025-02-05 16:57:48.627000+00:00,2025-02-05 16:57:48.827000+00:00
166498,Chat GPT new release,chat-gpt-new-release,2025-02-07 13:56:05.604000+00:00,2025-02-07 13:56:05.894000+00:00
166576,GA5 - Data Preparation - Discussion Thread [TDS Jan 2025],ga5-data-preparation-discussion-thread-tds-jan-2025,2025-02-08 14:39:41.393000+00:00,2025-03-11 22:41:00.273000+00:00
166593,For project 1,for-project-1,2025-02-08 17:32:11.361000+00:00,2025-02-17 19:01:57.809000+00:00
166634,Doubt in GA4 Q7,doubt-in-ga4-q7,2025-02-09 12:11:34.824000+00:00,2025-02-09 18:12:58.595000+00:00
166647,I have doubt in Q10,i-have-doubt-in-q10,2025-02-09 14:51:52.337000+00:00,2025-02-09 18:15:12.582000+00:00
166651,Tds w4- q3,tds-w4-q3,2025-02-09 15:23:27.958000+00:00,2025-02-09 15:23:28.169000+00:00
166738,Project structure,project-structure,2025-02-10 16:34:02.601000+00:00,2025-02-10 16:34:02.826000+00:00
166816,Graded Assignments Dashboard Scores Incorrect/Missing,graded-assignments-dashboard-scores-incorrect-missing,2025-02-11 17:03:20.958000+00:00,2025-02-21 03:42:15.854000+00:00
166866,--Request for postponing the Project -1 deadline-- Official Response: Extended :),request-for-postponing-the-project-1-deadline-official-response-extended,2025-02-12 14:07:52.702000+00:00,2025-02-15 16:52:14.578000+00:00
166891,Regarding Github Mail For Project,regarding-github-mail-for-project,2025-02-13 02:19:53.023000+00:00,2025-02-14 05:12:27.093000+00:00
167072,Sudo permission needed to create data folder in root?,sudo-permission-needed-to-create-data-folder-in-root,2025-02-14 03:57:16.661000+00:00,2025-02-14 04:53:36.939000+00:00
167172,Regarding project1 for file not detecting after sending post request,regarding-project1-for-file-not-detecting-after-sending-post-request,2025-02-14 12:38:47.706000+00:00,2025-02-14 18:44:30.274000+00:00
167344,Project 1 - Casual banter,project-1-casual-banter,2025-02-15 16:55:08.372000+00:00,2025-02-19 11:01:00.149000+00:00
167410,Request to Consider My Last Submission for TDS Project 1,request-to-consider-my-last-submission-for-tds-project-1,2025-02-16 14:35:10.350000+00:00,2025-02-18 05:03:53.808000+00:00
167415,IMPORTANT: Dockerfile submitted as dockerfile rest everything is working fine,important-dockerfile-submitted-as-dockerfile-rest-everything-is-working-fine,2025-02-16 15:33:59.823000+00:00,2025-02-18 08:30:13.921000+00:00
167471,Project 1 Submission Marked as FAIL Despite Having Dockerfile & Image,project-1-submission-marked-as-fail-despite-having-dockerfile-image,2025-02-17 10:07:56.585000+00:00,2025-02-18 08:28:16.577000+00:00
167679,Inconsistent information in the Grading Document and the website,inconsistent-information-in-the-grading-document-and-the-website,2025-02-19 06:13:13.395000+00:00,2025-02-20 11:41:31.854000+00:00
167699,Just some background test,just-some-background-test,2025-02-15 16:55:08.372000+00:00,2025-02-15 16:55:08.372000+00:00
167878,About TDS Course,about-tds-course,2025-02-21 06:45:31.029000+00:00,2025-02-21 10:18:09.293000+00:00
168011,"Q3, GA5 not accepting right answer",q3-ga5-not-accepting-right-answer,2025-02-21 18:32:17.618000+00:00,2025-02-25 11:13:32.454000+00:00
168017,GA5 Score Not Reflecting in The Page After Deadline,ga5-score-not-reflecting-in-the-page-after-deadline,2025-02-21 19:25:35.201000+00:00,2025-02-22 03:16:58.662000+00:00
168057,QUESTION 9 of TDS WEEK 5 GA,question-9-of-tds-week-5-ga,2025-02-22 04:50:25.756000+00:00,2025-02-22 08:30:32.330000+00:00
168142,ROE instructions request,roe-instructions-request,2025-02-22 12:34:59.544000+00:00,2025-02-24 08:59:27.794000+00:00
168143,My score are still not updated,my-score-are-still-not-updated,2025-02-22 12:48:54.316000+00:00,2025-02-22 13:06:55.864000+00:00
168303,Project 2 and Week 6 assignment,project-2-and-week-6-assignment,2025-02-24 08:43:31.005000+00:00,2025-02-24 09:16:21.851000+00:00
168310,Request for a functionality to revise the GAs of TDS,request-for-a-functionality-to-revise-the-gas-of-tds,2025-02-24 10:45:52.091000+00:00,2025-02-24 10:45:52.414000+00:00
168384,Clarification regarding Mock ROE Timings,clarification-regarding-mock-roe-timings,2025-02-25 05:11:06.909000+00:00,2025-02-26 13:58:52.609000+00:00
168449,"Mock ROE 1, 2, 3, 4 [TDS Jan 2025]",mock-roe-1-2-3-4-tds-jan-2025,2025-02-25 13:32:03.641000+00:00,2025-03-04 10:15:32.857000+00:00
168458,Tds roe exam date shift,tds-roe-exam-date-shift,2025-02-25 15:14:46.948000+00:00,2025-02-26 10:24:40.604000+00:00
168476,Concerns Regarding TDS Course Difficulty and Grading Fairness,concerns-regarding-tds-course-difficulty-and-grading-fairness,2025-02-25 17:21:11.726000+00:00,2025-02-28 13:48:45.642000+00:00
168482,TDS Module 6,tds-module-6,2025-02-25 17:57:30.579000+00:00,2025-02-26 02:35:12.373000+00:00
168506,Revised dates [TDS Jan 2025],revised-dates-tds-jan-2025,2025-02-26 05:11:28.731000+00:00,2025-03-11 22:37:17.459000+00:00
168515,Opening previous ga just for practise,opening-previous-ga-just-for-practise,2025-02-26 06:09:42.079000+00:00,2025-02-26 17:11:47.647000+00:00
168537,ROE timing overlaps with Java OPPE,roe-timing-overlaps-with-java-oppe,2025-02-26 11:45:53.125000+00:00,2025-03-03 07:27:48.677000+00:00
168567,Create a Question solving groups for ROE,create-a-question-solving-groups-for-roe,2025-02-26 15:49:28.271000+00:00,2025-02-26 16:06:06.736000+00:00
168825,Not recieved the roe link mail,not-recieved-the-roe-link-mail,2025-03-01 07:37:08.740000+00:00,2025-03-02 06:03:08.910000+00:00
168832,Remote Online Exam [TDS Jan 2025],remote-online-exam-tds-jan-2025,2025-03-01 08:54:26.301000+00:00,2025-03-11 22:42:18.594000+00:00
168901,ROE Common Snippets Repo Feb 2025,roe-common-snippets-repo-feb-2025,2025-03-01 21:00:34.798000+00:00,2025-03-02 11:27:20.581000+00:00
168916,Project 1 tds score not showing i,project-1-tds-score-not-showing-i,2025-03-02 04:22:49.157000+00:00,2025-04-05 10:57:46.321000+00:00
168943,Solving ROE Realtime,solving-roe-realtime,2025-03-02 07:30:53.713000+00:00,2025-03-02 08:14:15.471000+00:00
168987,Unable to attend the ROE,unable-to-attend-the-roe,2025-03-02 13:51:41.403000+00:00,2025-03-03 11:27:52.737000+00:00
169029,Project 2 - TDS Solver - Discussion Thread,project-2-tds-solver-discussion-thread,2025-03-03 03:42:18.928000+00:00,2025-04-25 17:08:56.564000+00:00
169045,Project 2 - TDS Solver - Shared Data Pool,project-2-tds-solver-shared-data-pool,2025-03-03 07:17:32.655000+00:00,2025-03-04 09:29:48.657000+00:00
169247,Disparity in TDS GA 5 scores,disparity-in-tds-ga-5-scores,2025-03-06 06:07:52.316000+00:00,2025-03-07 05:05:52.056000+00:00
169283,Graded assignment 6,graded-assignment-6,2025-03-06 13:48:38.931000+00:00,2025-04-11 16:31:37.494000+00:00
169352,Solve this roe mistake pls,solve-this-roe-mistake-pls,2025-03-07 13:58:20.411000+00:00,2025-03-07 15:33:38.472000+00:00
169369,Programming Quiz 1 in Student Dashboard (label for ROE scores) - showing absent or incorrect,programming-quiz-1-in-student-dashboard-label-for-roe-scores-showing-absent-or-incorrect,2025-03-07 16:51:48.746000+00:00,2025-03-11 22:33:17.038000+00:00
169393,Thursday live session,thursday-live-session,2025-03-08 06:07:13.935000+00:00,2025-03-09 07:32:26.910000+00:00
169456,Live session recorded or not,live-session-recorded-or-not,2025-03-09 06:43:36.989000+00:00,2025-03-11 22:38:03.924000+00:00
169807,Clarification on Passing Criteria for TDS – January 2025 Term,clarification-on-passing-criteria-for-tds-january-2025-term,2025-03-13 15:57:41.091000+00:00,2025-03-13 16:26:59+00:00
169888,GA7 - Data Visualisation - Discussion Thread [TDS Jan 2025],ga7-data-visualisation-discussion-thread-tds-jan-2025,2025-03-14 15:47:52.827000+00:00,2025-04-11 05:48:24+00:00
170131,Problem with TDS GA Scores,problem-with-tds-ga-scores,2025-03-16 18:46:29.577000+00:00,2025-03-17 03:38:14.468000+00:00
170147,"Concerns Regarding Various Issues: Graded Assignments, Project Doubts, and ROE Score Updates",concerns-regarding-various-issues-graded-assignments-project-doubts-and-roe-score-updates,2025-03-17 05:32:42.862000+00:00,2025-03-17 12:43:30.265000+00:00
170309,GA4 bonus marks,ga4-bonus-marks,2025-03-17 17:58:43.761000+00:00,2025-03-18 05:33:25.025000+00:00
170413,[TDS JAN 25] Imp. Announcement for Project 2,tds-jan-25-imp-announcement-for-project-2,2025-03-19 05:09:38.955000+00:00,2025-03-20 09:21:20.196000+00:00
171054,Successfully Completed TDS Project 2 – Seeking Feedback & Demonstration Session,successfully-completed-tds-project-2-seeking-feedback-demonstration-session,2025-03-27 11:40:53.435000+00:00,2025-03-31 07:29:24.499000+00:00
171141,Tds-official-Project1-discrepencies,tds-official-project1-discrepencies,2025-03-28 18:34:40.927000+00:00,2025-04-20 09:05:20.485000+00:00
171422,Project 2: How to test questions from the GA's,project-2-how-to-test-questions-from-the-gas,2025-03-31 07:27:12.502000+00:00,2025-04-01 08:53:28.252000+00:00
171428,Request for Extension on TDS Project 2 Deadline,request-for-extension-on-tds-project-2-deadline,2025-03-31 09:36:18.178000+00:00,2025-03-31 18:25:33.133000+00:00
171473,Scores and End Semester exam,scores-and-end-semester-exam,2025-04-01 01:52:38.574000+00:00,2025-04-01 01:52:38.764000+00:00
171477,Project 1 Evaluation second mail is not correct and reports files missing while they are present,project-1-evaluation-second-mail-is-not-correct-and-reports-files-missing-while-they-are-present,2025-04-01 03:38:04.214000+00:00,2025-04-29 15:19:06.622000+00:00
171485,Project 1 discrepancy regarding mit license,project-1-discrepancy-regarding-mit-license,2025-04-01 05:16:56.405000+00:00,2025-04-06 13:59:53.894000+00:00
171500,TDS - GA7 - Score missing,tds-ga7-score-missing,2025-04-01 08:33:04.332000+00:00,2025-04-10 05:29:50.411000+00:00
171515,GA7: Peer Grading Clarification,ga7-peer-grading-clarification,2025-04-01 13:11:54.250000+00:00,2025-04-01 13:11:54.500000+00:00
171525,Clarification on API Endpoint Correction in Submission,clarification-on-api-endpoint-correction-in-submission,2025-04-01 15:09:37.885000+00:00,2025-04-03 14:38:39.579000+00:00
171541,Peer review clarificaiton,peer-review-clarificaiton,2025-04-01 17:58:36.436000+00:00,2025-04-04 05:37:33.980000+00:00
171668,End term TDS,end-term-tds,2025-04-03 10:14:21.014000+00:00,2025-04-09 03:06:43.667000+00:00
171672,Why Failed?,why-failed,2025-04-03 10:44:03.220000+00:00,2025-04-07 12:15:01.305000+00:00
171798,Repeat course,repeat-course,2025-04-05 06:12:14.503000+00:00,2025-04-18 04:05:12.216000+00:00
171999,Project 1 solution repository link,project-1-solution-repository-link,2025-04-07 03:41:25.974000+00:00,2025-04-07 05:50:26.193000+00:00
172021,EMAIL IN ga-7,email-in-ga-7,2025-04-07 08:50:43.142000+00:00,2025-04-07 10:13:37.054000+00:00
172246,Bonus Marks in TDS for Jan 25,bonus-marks-in-tds-for-jan-25,2025-04-09 13:03:21.636000+00:00,2025-04-19 08:58:39.763000+00:00
172254,📜 According to TDS Rule 14(b):,according-to-tds-rule-14-b,2025-04-09 13:42:38.627000+00:00,2025-04-09 14:52:32.741000+00:00
172333,END TERM MOCK [TDS Jan 25],end-term-mock-tds-jan-25,2025-04-10 07:52:12.506000+00:00,2025-04-13 02:26:36.725000+00:00
172373,PYQ doubt,pyq-doubt,2025-04-10 14:21:56.165000+00:00,2025-04-10 14:50:28.002000+00:00
172471,What to do if peer has not allowed access and the deadline is over for peer review in Project 2,what-to-do-if-peer-has-not-allowed-access-and-the-deadline-is-over-for-peer-review-in-project-2,2025-04-11 18:38:30.975000+00:00,2025-04-12 08:37:29.024000+00:00
172497,Project 1 : not submitted issue,project-1-not-submitted-issue,2025-04-12 04:49:42.643000+00:00,2025-04-12 05:11:41.862000+00:00
172546,PYQ Haversine,pyq-haversine,2025-04-12 12:32:53.503000+00:00,2025-04-12 12:32:53.702000+00:00
